cartId,productId,quantity
10003,11108,2
2105,7780,4
6613,9936,3
13462,9452,1
7645,11478,8
373,10182,3
10380,9439,3
8523,15835,9
6317,19444,7
17393,5491,7
9886,16864,3
17451,12123,6
3645,16862,4
9119,2318,10
16133,7742,5
11953,3339,9
10251,1027,8
7136,19369,9
16206,97,10
10894,14532,7
3998,12500,2
6363,13407,9
9611,6753,6
16601,11860,7
16225,950,8
15307,329,6
10082,12812,8
18342,4589,2
11274,17846,3
13404,7072,4
6781,10623,4
6452,5121,10
1520,14695,6
10478,7733,6
6179,412,4
3801,19806,3
13133,18452,8
5471,9584,5
15720,14996,4
7151,3679,3
15514,12204,10
1548,13956,8
13724,16669,3
8703,10192,2
8822,311,3
8963,14398,8
11565,12787,8
3000,1414,5
13118,17675,5
8259,9159,10
14063,3225,8
8254,10308,3
4018,12377,10
16553,8760,2
14507,2717,6
3466,16428,10
7725,11978,3
9673,7949,1
4087,15552,10
11864,1594,5
4149,19521,7
3175,13956,8
4822,8287,1
14092,2975,4
15280,11474,8
2828,2185,10
11209,15462,10
15500,9361,6
2726,14930,5
4218,3105,10
19325,5318,5
13141,691,2
17345,12253,8
6260,16319,2
8327,12544,6
13697,827,5
15750,7871,4
6037,10363,4
14085,7788,6
13117,16665,9
14708,19798,1
311,14603,8
1627,19,10
17961,14683,3
12416,14497,9
8832,15567,7
7139,10455,6
7312,2774,2
19046,3372,9
16179,5194,8
11307,17990,10
8575,384,7
1139,13558,7
54,19492,3
11396,12316,4
5803,8174,3
19200,14602,9
5120,18366,3
6314,7591,4
10247,2762,9
1704,19746,4
7433,9488,10
12337,9277,6
14511,14511,8
4519,15475,8
6049,11291,1
16467,17802,5
19442,5977,3
19594,7093,5
18958,8275,6
5214,7473,1
3082,1311,1
7057,777,5
2499,11666,7
10404,18588,5
5528,6166,1
7437,721,4
3246,17240,7
7653,14228,1
6534,11699,9
17906,18051,4
8117,10253,10
17267,5465,2
17899,19145,9
779,9694,8
7730,11502,8
11502,19549,2
9791,1211,10
7440,1950,8
5683,1138,4
864,10867,5
18487,9392,4
1739,3339,2
5782,10008,2
17678,13195,5
16010,8456,9
16240,17789,8
17169,14042,6
9340,5886,8
16401,15584,6
16851,5927,9
5666,5929,4
11974,1598,10
18391,15913,4
19662,13841,8
17755,19694,3
17419,9560,1
19147,8190,1
9413,12928,3
9756,1810,8
11644,15374,10
14117,579,9
11001,6661,3
16065,9218,2
591,8469,8
13225,1389,6
15216,2836,8
6189,3349,9
9493,19123,4
3882,12268,9
5249,2757,4
15153,4059,3
4076,14933,6
5447,7240,4
13684,2461,10
2921,12201,5
8687,12405,1
4832,16968,4
3965,10207,1
7374,7350,1
6465,1246,5
19726,3898,3
3302,12334,6
5694,9894,5
13717,8736,6
3708,14231,10
17489,11273,9
13030,12756,8
19843,18666,10
10083,19824,1
3828,11891,10
650,6296,5
18440,6548,7
7083,8308,4
4760,7307,5
14475,10576,9
1725,7986,10
15887,19463,8
6483,16367,6
14804,18584,4
3669,14549,7
10473,7827,3
10138,14263,2
14140,12457,6
11164,5884,2
5854,12344,6
14452,8381,1
14767,9207,3
16347,12215,7
209,19043,2
15892,8926,6
18099,5407,7
18567,12006,9
19163,13258,1
11616,2902,2
2005,7890,2
3817,16580,5
120,17483,1
18316,16001,5
14264,13501,6
9631,14585,10
3194,4777,4
4379,3438,10
8232,13564,1
3558,12326,8
10888,957,9
4103,10402,5
15490,11465,5
4059,5851,2
19143,11470,1
12197,11575,5
4169,911,2
16023,3987,7
9197,10955,4
8728,10345,8
7993,16550,10
17323,3780,8
9764,1174,7
2536,5705,5
15337,16872,3
18026,4226,1
5629,1792,6
12567,11693,3
12191,17368,8
8018,4882,1
2139,6219,2
3586,8444,6
18954,16512,9
10986,11146,9
118,4270,7
1993,19400,5
16750,559,1
12580,11059,3
10671,13211,9
4731,6207,3
8646,11453,4
4693,3972,9
11226,19241,8
11096,4633,6
2675,5838,9
7003,14893,3
3318,15799,5
16603,11090,5
11529,9334,5
18097,15393,9
12526,19274,2
15150,11894,3
10300,8384,6
2658,8475,8
5691,7853,3
19513,4786,10
455,18733,10
9978,17450,7
3035,17623,10
19396,430,9
14952,4362,10
19430,16535,7
18334,5453,2
11359,7389,6
19505,4198,6
5571,593,5
14549,17312,6
