userid,createdAt,totalItems,totalPrice,cartStatus
1,2020-06-13:03:39:42,907,404.03,delivered
2,2020-05-08:03:25:49,93,8810.92,processing
3,2021-04-25:12:14:33,253,15.85,delivered
4,2021-01-16:02:36:58,210,7167.39,delivered
5,2022-01-10:15:59:07,778,5574.99,shipped
6,2022-01-22:05:16:16,364,1902.84,delivered
7,2022-02-21:23:19:37,14,8640.57,processing
8,2021-01-23:18:06:03,695,4512.0,delivered
9,2022-01-11:14:15:40,950,1076.57,shipped
10,2022-01-26:07:55:43,835,3553.07,processing
11,2020-05-28:21:08:45,916,7445.84,cancelled
12,2022-11-29:13:50:56,856,2245.13,pending
13,2020-07-08:23:46:48,971,6110.67,processing
14,2022-07-29:00:41:17,530,592.44,delivered
15,2021-01-09:05:43:49,911,1862.8,pending
16,2020-06-21:09:05:39,54,1461.75,pending
17,2020-05-07:15:35:57,43,7973.56,processing
18,2021-08-05:13:01:12,753,7774.95,shipped
19,2020-11-13:13:17:17,949,1704.21,cancelled
20,2021-09-09:00:34:22,618,5325.97,cancelled
21,2022-06-25:06:42:42,130,6438.02,pending
22,2021-04-17:23:38:49,463,9908.75,cancelled
23,2021-11-01:02:49:10,410,6656.37,pending
24,2020-01-21:06:21:12,294,9775.61,pending
25,2021-09-29:10:49:19,920,190.52,delivered
26,2021-07-14:12:37:51,234,2038.43,processing
27,2020-07-02:03:10:11,230,5368.22,delivered
28,2022-03-11:23:31:20,166,4722.83,processing
29,2020-06-30:06:17:34,741,5554.63,delivered
30,2022-07-27:12:09:36,825,4136.31,shipped
31,2020-02-21:11:55:31,414,8446.98,shipped
32,2021-05-03:16:49:02,858,6948.54,shipped
33,2020-04-07:07:39:53,165,2915.1,pending
34,2021-04-13:05:35:36,779,4365.02,pending
35,2020-12-26:11:07:38,911,941.47,shipped
36,2022-05-31:01:55:35,973,2190.93,delivered
37,2020-06-12:09:21:46,708,1348.21,pending
38,2021-03-10:07:59:44,900,6659.99,delivered
39,2020-06-22:21:03:49,128,25.04,cancelled
40,2021-11-18:10:22:21,869,606.24,shipped
41,2021-08-26:07:47:33,128,8005.65,shipped
42,2021-07-15:15:59:59,302,5415.98,delivered
43,2020-03-21:12:54:28,122,2377.22,pending
44,2021-02-28:22:04:40,769,1046.61,cancelled
45,2021-06-19:03:03:10,356,512.16,cancelled
46,2021-08-06:07:30:54,666,2509.13,processing
47,2021-10-20:22:03:59,115,2890.41,cancelled
48,2020-06-13:13:35:49,135,2070.39,pending
49,2021-09-28:08:04:22,411,7382.87,shipped
50,2022-12-01:21:16:49,949,7262.52,pending
51,2022-02-14:07:14:05,166,8340.41,shipped
52,2020-02-17:18:39:42,96,8313.14,pending
53,2020-05-28:20:32:33,938,3266.87,pending
54,2020-08-26:23:40:32,75,6149.4,processing
55,2022-10-09:14:54:15,358,8246.69,cancelled
56,2020-11-01:16:36:53,27,3115.05,delivered
57,2021-12-22:16:08:13,719,3966.45,processing
58,2020-02-15:10:36:10,706,4253.61,delivered
59,2020-12-23:01:25:56,849,949.16,processing
60,2020-09-04:09:06:01,247,2597.23,pending
61,2020-06-16:20:47:07,58,7934.07,cancelled
62,2021-07-14:17:19:46,684,1483.0,pending
63,2021-09-15:11:25:58,555,6551.8,shipped
64,2021-02-17:08:29:05,555,1928.03,pending
65,2022-08-10:21:46:50,717,2871.24,delivered
66,2020-09-18:04:03:26,853,9135.81,delivered
67,2021-02-20:01:55:05,594,1642.1,cancelled
68,2021-03-19:22:44:59,648,9482.8,delivered
69,2020-10-15:11:16:41,518,3368.48,pending
70,2021-02-17:07:41:01,644,977.56,shipped
71,2022-08-05:23:27:19,798,8891.67,processing
72,2020-12-14:15:07:15,914,7055.87,processing
73,2021-04-23:06:32:28,128,276.75,shipped
74,2022-11-18:10:25:43,907,3318.35,pending
75,2022-04-19:21:23:28,91,7111.58,shipped
76,2022-08-13:14:12:59,154,1398.27,delivered
77,2020-01-07:11:58:42,583,6619.83,processing
78,2020-06-27:15:10:56,770,4808.95,cancelled
79,2021-07-01:09:12:04,948,3955.67,cancelled
80,2022-12-06:10:22:32,601,7157.73,cancelled
81,2022-07-08:07:46:27,849,2794.99,processing
82,2022-05-13:21:57:06,815,9499.34,pending
83,2021-03-02:09:12:29,460,9226.24,delivered
84,2021-01-30:07:41:44,556,1158.94,pending
85,2021-06-11:11:47:03,463,8168.44,delivered
86,2021-08-27:01:57:15,71,8206.17,pending
87,2020-08-28:21:07:25,143,5860.55,cancelled
88,2022-01-20:08:27:41,557,1958.15,delivered
89,2020-10-29:06:43:44,343,8858.91,delivered
90,2022-07-30:04:32:28,158,6905.85,pending
91,2021-03-10:15:51:09,509,3136.32,cancelled
92,2022-02-13:19:19:24,318,5245.5,pending
93,2020-07-26:16:48:37,842,8420.45,pending
