code,description,startDate,endDate,promotionDiscount
8T8KPA6A,Buy One Get One,25-02-2025,05-03-2025,0.3
5LPZJVUW,Seasonal special,03-07-2021,13-08-2021,0.6
YOXAF5KU,Seasonal special,22-05-2022,01-06-2022,0.4
KBAC97VC,Clearance blowout,18-08-2021,13-09-2021,0.3
6CUQG6EK,Flash sale items,27-03-2025,08-04-2025,0.7
JG0CBMCL,Friend referral bonus,14-05-2021,23-05-2021,0.8
XGEWXAUO,Clearance blowout,30-06-2023,10-07-2023,0.4
QJZK3GH1,Members-only offer,14-09-2023,20-09-2023,0.4
EEZ7ZHQ4,Free shipping offer,11-04-2020,08-06-2020,0.3
WHLDLQJQ,Free shipping offer,10-11-2023,05-01-2024,0.3
V0JM12VF,Members-only offer,25-10-2020,11-11-2020,0.7
W6DDIQ3X,Free shipping offer,06-03-2023,14-04-2023,0.7
XTSOJ3BR,Clearance blowout,15-09-2020,14-11-2020,0.7
7OHQ8KA5,Clearance blowout,16-05-2022,17-05-2022,0.5
6KIHLMRC,Limited-time deal,21-08-2024,25-08-2024,0.2
OVGJLMI7,Limited-time deal,26-06-2023,03-07-2023,0.7
9ANGCEVR,Weekend promotion,14-02-2025,26-03-2025,0.3
YQ8X291U,Clearance blowout,14-12-2021,25-01-2022,0.3
ORLUZSYA,Buy One Get One,22-07-2023,21-08-2023,0.3
55XBA7Y8,Weekend promotion,02-06-2023,13-06-2023,0.4
9T56ULMX,Limited-time deal,18-03-2021,30-03-2021,0.6
0FH1COAV,First-order discount,10-05-2024,05-06-2024,0.3
SEB35RNL,Members-only offer,06-08-2023,27-09-2023,0.3
P1C0OKNR,Seasonal special,05-11-2020,05-12-2020,0.1
NMD03FZQ,Clearance blowout,28-07-2023,18-08-2023,0.7
VUE5OKEE,Friend referral bonus,17-06-2023,03-08-2023,0.8
RH3WDHDM,Clearance blowout,15-08-2024,19-08-2024,0.3
BA44CXAA,Friend referral bonus,31-12-2023,13-02-2024,0.1
MMJE2W5J,Weekend promotion,28-04-2020,03-05-2020,0.2
JYEK6SCR,First-order discount,05-01-2023,18-01-2023,0.4
TR8UMZ7Q,Buy One Get One,12-07-2022,06-08-2022,0.6
1TG5NX0I,Clearance blowout,11-08-2021,14-08-2021,0.6
4WN96A9N,Limited-time deal,16-04-2022,05-05-2022,0.4
3374GB0A,Flash sale items,17-09-2024,11-11-2024,0.2
MREM3SY7,Seasonal special,06-01-2025,25-01-2025,0.6
51LM1E6K,Buy One Get One,21-07-2023,15-09-2023,0.7
LD48UMZ3,First-order discount,22-08-2022,23-09-2022,0.5
8GHR31H0,Weekend promotion,15-09-2020,04-11-2020,0.6
D8MJDMUU,Free shipping offer,16-03-2025,17-04-2025,0.5
9J38Y5IZ,Seasonal special,07-01-2022,04-03-2022,0.4
30P2HJV6,Limited-time deal,20-03-2025,06-05-2025,0.3
KUGHAM7C,First-order discount,05-07-2023,25-08-2023,0.5
ZD5COBZQ,Seasonal special,23-05-2023,14-06-2023,0.7
K41E7B1J,Free shipping offer,22-10-2023,09-12-2023,0.3
ZGZ6A85A,Members-only offer,18-05-2024,24-06-2024,0.7
O84Z7WZI,Members-only offer,11-04-2021,16-04-2021,0.1
BDMZBWFG,Seasonal special,25-09-2021,06-11-2021,0.6
41SEG2XP,Members-only offer,09-10-2021,31-10-2021,0.7
6SBXVBAV,Flash sale items,25-01-2021,08-02-2021,0.5
D2MGVYO7,First-order discount,20-11-2024,01-12-2024,0.7
4WUTD7RN,Clearance blowout,20-01-2023,04-03-2023,0.8
2HD04GHY,Clearance blowout,06-10-2020,27-10-2020,0.6
HF4DZ19W,Flash sale items,18-04-2020,24-05-2020,0.5
Z6WQLWQZ,Flash sale items,26-04-2022,21-05-2022,0.8
ZWHFPNOU,Seasonal special,15-09-2021,07-11-2021,0.5
8CN6G8H4,Limited-time deal,17-04-2022,01-06-2022,0.8
4S18QU0A,First-order discount,07-11-2024,14-12-2024,0.2
Y47OETXK,First-order discount,15-09-2022,12-11-2022,0.3
X4Z3NTEU,Flash sale items,02-03-2023,26-03-2023,0.6
UYMN1OWX,Members-only offer,20-01-2024,26-02-2024,0.4
M8QDCKBQ,Free shipping offer,26-04-2024,02-06-2024,0.5
N3ZFWJ6Z,Flash sale items,10-08-2024,15-08-2024,0.5
KP1V6JLK,Limited-time deal,17-09-2023,30-10-2023,0.5
V33TQROP,First-order discount,05-06-2022,19-07-2022,0.5
L50C9QI0,Members-only offer,30-05-2022,17-07-2022,0.4
WQWQSNIT,Buy One Get One,17-04-2022,03-05-2022,0.3
9ZDM80Q2,Limited-time deal,16-09-2020,08-11-2020,0.3
O9A8FI2N,Buy One Get One,01-03-2022,30-03-2022,0.6
4RJGGQK7,Seasonal special,02-10-2021,17-10-2021,0.4
VVK8SUAI,Weekend promotion,28-07-2024,07-08-2024,0.2
2ID11RZS,Members-only offer,30-11-2024,02-01-2025,0.6
3HGW1COU,Seasonal special,13-03-2022,20-04-2022,0.5
